State,Date,daily_vaccinations,daily_vaccinations_per_million,positiveIncrease,deathIncrease,hospitalizedIncrease,totalTestResultsIncrease,NumberofTrips,PopulationStayingatHome,NumberofTrips500miles,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Mississippi,10/1/20,,,696,10,131,696,8957896,506516,2842,-4,-1,19,7,-18,2
Mississippi,10/2/20,,,672,20,0,672,8955355,507805,2222,-6,-2,12,7,-19,1
Mississippi,10/3/20,,,609,12,0,609,8303091,583188,2202,-5,0,37,13,-14,-1
Mississippi,10/4/20,,,321,2,0,321,7564085,606094,2467,-4,-2,30,12,-19,1
Mississippi,10/5/20,,,215,0,78,66027,7623344,627633,2340,-4,-2,15,6,-20,2
Mississippi,10/6/20,,,0,0,0,0,8542080,552353,1997,-5,0,24,8,-20,2
Mississippi,10/7/20,,,1538,38,0,1538,8606454,529892,2248,-4,-1,27,12,-19,2
Mississippi,10/8/20,,,578,23,0,578,7851694,528322,2186,-9,-5,18,10,-19,4
Mississippi,10/9/20,,,862,6,0,862,7994605,575737,2107,-14,-9,-6,-6,-22,7
Mississippi,10/10/20,,,957,16,0,957,7265928,648468,2059,-20,-14,-12,-9,-18,6
Mississippi,10/11/20,,,294,5,0,294,6895629,628720,1636,-12,-8,5,3,-18,3
Mississippi,10/12/20,,,296,0,184,296,8018926,575662,1632,-10,-8,18,4,-27,6
Mississippi,10/13/20,,,713,14,0,713,8567561,538357,2011,-8,-3,27,6,-20,4
Mississippi,10/14/20,,,876,25,0,876,8482863,520485,2389,-5,-3,21,8,-18,3
Mississippi,10/15/20,,,1322,12,0,1322,7689625,570452,3026,-9,-5,16,8,-18,4
Mississippi,10/16/20,,,1116,8,0,26005,8770278,507426,2719,-11,-9,7,7,-19,4
Mississippi,10/17/20,,,751,11,0,751,8207170,582662,2646,-9,-6,34,12,-13,1
Mississippi,10/18/20,,,0,0,0,0,7252317,608684,2422,-9,-6,20,12,-18,2
Mississippi,10/19/20,,,586,0,143,586,8316693,539479,2291,-11,-7,9,3,-18,4
Mississippi,10/20/20,,,730,31,0,730,8240524,539462,2126,-11,-5,21,4,-18,4
Mississippi,10/21/20,,,801,21,0,801,7716626,591498,2729,-8,-5,21,7,-18,4
Mississippi,10/22/20,,,958,8,0,958,8730742,532653,2264,-11,-8,21,6,-18,4
Mississippi,10/23/20,,,795,7,0,795,9654922,491308,2238,-13,-11,6,1,-19,4
Mississippi,10/24/20,,,1212,17,0,1212,8846464,557329,1810,-12,-7,14,6,-14,3
Mississippi,10/25/20,,,0,0,0,0,7642763,593363,2320,-13,-8,8,5,-19,3
Mississippi,10/26/20,,,675,8,196,675,8590459,543717,1919,-10,-7,10,3,-17,4
Mississippi,10/27/20,,,854,20,0,854,8561270,541638,1755,-10,-4,11,4,-18,4
Mississippi,10/28/20,,,1000,19,0,35443,7850959,570533,2306,-19,-9,-16,-3,-24,8
Mississippi,10/29/20,,,970,8,0,41247,8126400,563467,2254,-15,-10,3,11,-29,3
Mississippi,10/30/20,,,749,18,0,749,8939812,553927,2029,-10,-6,0,8,-25,2
Mississippi,10/31/20,,,824,6,0,824,8816395,600008,1587,-10,-1,29,7,-14,-1
Mississippi,11/1/20,,,340,14,0,340,8851578,647093,2906,-9,-6,5,3,-18,1
Mississippi,11/2/20,,,365,0,152,33309,9523725,631356,1536,-7,-4,-3,6,-19,3
Mississippi,11/3/20,,,644,36,0,644,8974613,543581,1492,7,6,35,8,-20,2
Mississippi,11/4/20,,,766,13,0,766,7997948,592582,1734,-7,-5,5,7,-17,4
Mississippi,11/5/20,,,1612,8,0,1612,9649293,589585,1662,-11,-7,7,4,-17,4
Mississippi,11/6/20,,,967,14,0,967,10741786,599845,1900,-13,-12,0,1,-18,4
Mississippi,11/7/20,,,1031,14,0,1031,9932196,626086,2298,-10,-7,17,6,-11,2
Mississippi,11/8/20,,,804,10,0,804,9872055,714325,2061,-10,-7,10,6,-16,2
Mississippi,11/9/20,,,516,0,186,37171,8850953,624861,2000,-10,-8,2,3,-17,4
Mississippi,11/10/20,,,933,37,0,933,8884477,602392,1868,-10,-5,3,3,-18,5
Mississippi,11/11/20,,,1256,17,0,1256,8307931,631868,2218,-7,-5,6,5,-24,6
Mississippi,11/12/20,,,1271,17,0,1271,8434978,619090,2350,-12,-8,9,3,-18,5
Mississippi,11/13/20,,,1305,5,0,1305,8954629,594639,1978,-13,-10,5,1,-19,5
Mississippi,11/14/20,,,1370,21,0,1370,8669773,632467,1885,-10,-6,23,6,-11,2
Mississippi,11/15/20,,,969,3,0,969,8137635,638171,3685,-11,-7,4,2,-18,3
Mississippi,11/16/20,,,589,2,177,33717,8636841,649282,3484,-11,-7,-1,3,-18,4
Mississippi,11/17/20,,,905,36,0,905,8733408,647588,3156,-11,-5,4,2,-18,5
Mississippi,11/18/20,,,1593,20,0,1593,9052371,644767,3589,-7,-3,6,8,-18,5
Mississippi,11/19/20,,,1395,18,0,1395,8722855,622092,3504,-11,-5,2,4,-19,5
Mississippi,11/20/20,,,1638,23,0,1638,8468805,597008,3218,-13,-8,1,6,-20,5
Mississippi,11/21/20,,,1972,15,0,1972,8167593,644195,3370,-11,-4,19,19,-11,2
Mississippi,11/22/20,,,779,19,0,779,7246259,660542,3197,-11,-5,3,12,-16,3
Mississippi,11/23/20,,,699,0,203,40980,8199926,627584,3103,-4,0,5,7,-27,6
Mississippi,11/24/20,,,665,53,0,665,8314663,624728,3372,0,9,14,11,-28,5
Mississippi,11/25/20,,,1092,16,0,1092,8341882,596980,2862,10,28,9,15,-35,6
Mississippi,11/26/20,,,1746,18,0,1746,7335460,655473,2635,-74,-35,6,-34,-78,20
Mississippi,11/27/20,,,1005,6,0,1005,8759478,625394,3211,-24,-22,-14,-25,-57,17
Mississippi,11/28/20,,,1553,10,0,1553,8055044,635695,3426,-18,-14,-3,3,-22,5
Mississippi,11/29/20,,,1845,27,0,1845,7111262,668164,3282,-23,-20,-34,14,-24,7
Mississippi,11/30/20,,,1485,1,192,36608,7848506,681001,3456,-8,-5,-14,4,-20,6
Mississippi,12/1/20,,,1141,29,0,1141,9094768,570405,2930,-6,0,-6,6,-19,5
Mississippi,12/2/20,,,2457,15,0,2457,9496808,557593,2556,-6,0,0,6,-18,5
Mississippi,12/3/20,,,2168,28,0,2168,9516191,554528,3179,-9,-2,-11,2,-19,6
Mississippi,12/4/20,,,2480,37,0,2480,9460444,546941,2918,-13,-8,-14,-1,-19,6
Mississippi,12/5/20,,,1942,33,0,1942,9052097,592905,2804,-10,-5,3,3,-9,3
Mississippi,12/6/20,,,1473,12,0,1473,7581993,634314,3117,-13,-8,-12,0,-17,4
Mississippi,12/7/20,,,1263,0,217,45168,7540653,667104,3449,-10,-5,-9,-3,-19,5
Mississippi,12/8/20,,,1732,56,0,1732,7923854,600574,3190,-10,-4,-3,-1,-18,5
Mississippi,12/9/20,,,2746,24,0,2746,7816052,592405,3398,-7,-3,3,5,-18,5
Mississippi,12/10/20,,,2283,42,0,2283,8333171,589497,3432,-11,-5,0,1,-18,6
Mississippi,12/11/20,,,2327,41,0,2327,8292606,612161,3417,-14,-9,-5,-2,-19,6
Mississippi,12/12/20,,,2665,56,0,2665,7858031,654804,3611,-11,-5,-2,1,-9,4
Mississippi,12/13/20,,,1500,19,0,1500,6753314,685828,3553,-13,-8,-12,-1,-18,5
Mississippi,12/14/20,,,1648,5,198,55008,7914290,623177,3089,-10,-4,-18,-3,-20,6
Mississippi,12/15/20,,,2205,48,0,2205,8207401,588560,2942,-8,0,-10,4,-20,6
Mississippi,12/16/20,,,2343,42,0,2343,7601543,629242,3845,-6,-1,-13,5,-20,7
Mississippi,12/17/20,,,2261,26,0,2261,8271817,602742,3339,-8,-2,-12,6,-20,7
Mississippi,12/18/20,,,2507,34,0,2507,8529115,625287,3329,-10,-6,-10,3,-21,7
Mississippi,12/19/20,,,1700,36,0,1700,8093529,654808,2720,-11,-4,-12,16,-11,4
Mississippi,12/20/20,,,2222,19,0,2222,6512856,672917,2719,-7,-3,-11,10,-16,4
Mississippi,12/21/20,,,1167,2,138,49165,7866109,650970,2774,4,5,4,6,-28,6
Mississippi,12/22/20,,,2191,79,0,2191,8694745,664935,3981,7,12,10,8,-30,6
Mississippi,12/23/20,,,2634,43,0,2634,8827492,675446,4261,19,27,2,10,-34,6
Mississippi,12/24/20,,,2326,23,0,2326,7886752,693626,3570,-2,31,-11,-14,-59,14
Mississippi,12/25/20,,,1527,6,0,1527,4875251,742130,2817,-85,-66,-27,-44,-80,26
Mississippi,12/26/20,,,845,3,0,845,7674431,690876,3580,-23,-14,-12,-9,-27,8
Mississippi,12/27/20,,,1365,41,0,1365,8090556,695116,3604,-17,-15,-1,7,-22,6
Mississippi,12/28/20,,,1701,28,106,1701,9328769,601271,3245,-6,-6,1,1,-37,11
Mississippi,12/29/20,,,1943,85,0,1943,9446137,592802,3146,-7,-3,10,0,-37,11
Mississippi,12/30/20,,,3023,28,0,3023,9724147,582076,2835,3,5,10,3,-37,10
Mississippi,12/31/20,,,2756,40,0,2756,9670644,587426,2967,4,20,-7,-10,-47,12
Mississippi,1/1/21,,,2575,29,0,2575,8232127,689564,3209,-39,-29,-10,-34,-69,23
Mississippi,1/2/21,,,1891,24,0,1891,9034510,632359,3053,-16,-11,-13,-3,-21,7
Mississippi,1/3/21,,,1784,31,0,1784,8109680,676069,3459,-12,-10,-10,7,-18,6
Mississippi,1/4/21,,,1616,13,115,1616,9691598,548793,2208,0,1,-8,2,-22,6
Mississippi,1/5/21,,,1767,91,0,57687,9226564,530019,2374,-4,3,-3,2,-20,6
Mississippi,1/6/21,,,2791,38,0,2791,9586477,507033,2872,-6,-1,-8,2,-20,7
Mississippi,1/7/21,,,3255,48,0,3255,9080988,520305,3308,-17,-10,-25,-5,-21,10
Mississippi,1/8/21,,,2175,40,0,2175,10221856,506211,3298,-18,-12,-26,-6,-20,9
Mississippi,1/9/21,,,3203,45,0,3203,9541733,574774,3241,-13,-8,-21,-1,-12,6
Mississippi,1/10/21,,,2214,21,0,2214,8161293,628824,3719,-14,-6,-27,-5,-18,6
Mississippi,1/11/21,,,1227,19,165,40575,8578231,617224,3570,-20,-14,-31,-12,-31,13
Mississippi,1/12/21,,,1648,98,0,1648,9293411,542700,3127,-8,-3,-15,1,-20,7
Mississippi,1/13/21,6745,2266,1942,31,0,1942,9528941,526022,3230,-8,-6,-9,2,-19,6
Mississippi,1/14/21,8652,2907,1948,41,0,1948,9746281,502088,3026,-13,-11,-10,-1,-20,6
Mississippi,1/15/21,9928,3336,2342,55,0,2342,11303466,479596,2628,-17,-15,-18,-4,-21,7
Mississippi,1/16/21,9274,3116,2680,70,0,2680,11071533,561016,2406,-14,-12,-10,-2,-13,5
Mississippi,1/17/21,8881,2984,1606,40,0,1606,9478201,544209,3038,-15,-13,-10,-5,-20,5
Mississippi,1/18/21,8620,2896,1457,3,121,34646,10836313,474557,2892,-12,-13,-7,-5,-41,11
Mississippi,1/19/21,8433,2834,1193,50,0,1193,9270510,489096,2619,-13,-7,-8,0,-20,6
Mississippi,1/20/21,8757,2942,1702,64,0,1702,9664857,476240,2391,-12,-9,-6,0,-20,6
Mississippi,1/21/21,9263,3112,2290,30,0,2290,10146127,455200,2820,-18,-14,-22,-4,-20,8
Mississippi,1/22/21,9457,3178,2050,45,0,2050,10741499,435767,2740,-19,-16,-26,-8,-20,8
Mississippi,1/23/21,8412,2826,1856,39,0,1856,9769185,504569,2287,-16,-13,-9,-5,-12,5
Mississippi,1/24/21,11241,3777,1196,20,0,1196,8562040,586155,3415,-21,-16,-23,-9,-19,6
Mississippi,1/25/21,10671,3586,927,5,101,39300,9388295,473826,3217,-16,-13,-17,-5,-19,7
Mississippi,1/26/21,9777,3285,1452,75,0,1452,10257781,457371,2653,-14,-10,-6,-4,-19,6
Mississippi,1/27/21,9665,3247,2074,65,0,2074,9937484,462126,2573,-12,-10,-7,0,-19,6
Mississippi,1/28/21,9222,3099,1804,28,0,1804,9839198,459350,2694,-16,-13,-13,-2,-19,7
Mississippi,1/29/21,8889,2987,2186,38,0,2186,10781023,440392,2417,-15,-15,-13,-3,-19,6
Mississippi,1/30/21,10280,3454,1528,35,0,1528,9894554,508685,2373,-14,-12,-10,2,-13,5
Mississippi,1/31/21,8395,2821,811,27,0,811,9187958,558323,3392,-14,-12,-16,-2,-19,5
Mississippi,2/1/21,8271,2779,705,11,130,33847,10535649,473429,3447,-11,-8,-23,0,-18,5
Mississippi,2/2/21,8302,2790,825,76,0,825,10637591,465635,3009,-11,-5,-13,0,-19,5
Mississippi,2/3/21,8667,2912,791,26,0,791,10361970,453756,2675,-4,-2,-7,5,-18,4
Mississippi,2/4/21,7094,2384,1210,24,0,1210,10379865,446602,2743,-13,-9,-15,-3,-19,6
Mississippi,2/5/21,9019,3030,1210,40,0,1210,11364782,423987,2763,-16,-12,-24,-4,-19,7
Mississippi,2/6/21,11140,3743,1036,44,0,1036,9826905,504436,2589,-16,-10,-30,-3,-13,6
Mississippi,2/7/21,12090,4062,900,3,0,900,9871957,551783,4109,-19,-7,-23,-10,-18,5
Mississippi,2/8/21,12653,4251,635,1,0,635,11284038,483106,3987,-13,-10,-15,-3,-19,5
Mississippi,2/9/21,12708,4270,656,72,125,33663,11282989,469650,3144,-10,-5,-3,0,-18,5
Mississippi,2/10/21,13515,4541,784,25,0,784,11043663,464665,3200,-8,-2,-10,2,-18,5
Mississippi,2/11/21,16356,5496,911,23,0,911,10862953,488735,3570,-21,-14,-35,-6,-23,11
Mississippi,2/12/21,15778,5301,984,39,0,984,11011343,435477,3510,-17,-8,-38,-3,-21,9
Mississippi,2/13/21,15323,5149,695,32,0,695,9689395,548364,2781,-13,2,-37,2,-15,7
Mississippi,2/14/21,15167,5096,1093,1,0,1093,8726939,652753,4465,-26,-9,-44,-9,-28,9
Mississippi,2/15/21,15050,5057,544,2,0,33290,7987334,850553,5972,-71,-60,-59,-53,-76,32
Mississippi,2/16/21,15612,5246,734,37,76,734,8256979,785056,4122,-58,-39,-47,-41,-74,30
Mississippi,2/17/21,13265,4457,684,23,0,684,8347271,733689,3853,-49,-27,-43,-32,-61,25
Mississippi,2/18/21,10423,3502,134,7,0,134,9408097,663185,3639,-46,-30,-38,-27,-60,23
Mississippi,2/19/21,12567,4223,360,3,0,360,9947479,578786,3027,-33,-19,-39,-20,-49,20
Mississippi,2/20/21,10529,3538,350,19,0,350,9660259,564310,2761,-20,-9,-26,1,-14,7
Mississippi,2/21/21,9131,3068,390,0,0,390,10141733,548706,3796,,,,,,
Mississippi,2/22/21,9468,3181,242,0,0,43045,12025522,441748,3457,,,,,,
Mississippi,2/23/21,9613,3230,348,24,34,348,12344848,421234,2855,,,,,,
Mississippi,2/24/21,12443,4181,669,28,0,669,11843325,420547,2617,,,,,,
Mississippi,2/25/21,12517,4206,920,8,0,920,11947838,421090,2687,,,,,,
Mississippi,2/26/21,13282,4463,731,25,0,731,12337289,400894,2863,,,,,,
Mississippi,2/27/21,16004,5377,549,31,0,549,11170134,462917,2082,,,,,,
Mississippi,2/28/21,18305,6151,704,12,0,704,10633326,517821,3002,,,,,,
Mississippi,3/1/21,19723,6627,199,0,0,23387,11734624,436568,3331,,,,,,
Mississippi,3/2/21,20112,6758,301,43,150,301,11181871,438235,2785,,,,,,
Mississippi,3/3/21,20044,6735,380,19,0,380,11928709,427712,2414,,,,,,
Mississippi,3/4/21,22804,7662,479,21,0,479,12310635,404206,2612,,,,,,
Mississippi,3/5/21,20469,6878,591,19,0,591,12408160,392609,2599,,,,,,
Mississippi,3/6/21,20482,6882,576,22,0,576,11263558,449336,2215,,,,,,
Mississippi,3/7/21,20778,6982,260,3,0,260,10281235,488398,3145,,,,,,
Oklahoma,10/1/20,,,1170,4,61,11413,11924426,854253,3793,0,9,44,1,-23,3
Oklahoma,10/2/20,,,1190,9,59,14719,11805440,884426,3319,-5,1,39,2,-22,4
Oklahoma,10/3/20,,,1189,7,1,17662,10886467,984546,3266,-8,4,53,6,-10,1
Oklahoma,10/4/20,,,569,1,0,569,9726085,1028272,3823,-5,3,42,5,-11,1
Oklahoma,10/5/20,,,665,3,104,665,10675498,1043899,2908,-6,2,18,-4,-24,5
Oklahoma,10/6/20,,,1364,11,142,31005,11656803,940210,2377,-7,1,44,-1,-24,4
Oklahoma,10/7/20,,,1006,9,113,10562,11803788,904869,2658,-4,2,45,0,-22,4
Oklahoma,10/8/20,,,1212,10,93,14247,11252215,929278,2615,-7,1,49,-1,-23,5
Oklahoma,10/9/20,,,1524,6,102,17101,11397428,966670,2539,-9,-3,42,1,-23,5
Oklahoma,10/10/20,,,1533,4,94,17168,10486457,1056873,2246,-13,1,58,2,-10,2
Oklahoma,10/11/20,,,766,3,20,766,9329433,1059050,2254,-8,1,49,5,-10,2
Oklahoma,10/12/20,,,797,6,46,797,10993077,981564,2044,-9,-3,27,-4,-29,7
Oklahoma,10/13/20,,,1309,15,-19,33014,11442376,928331,2720,-8,-1,49,-1,-24,6
Oklahoma,10/14/20,,,1122,13,264,11953,11542622,897437,3238,-3,3,47,3,-24,5
Oklahoma,10/15/20,,,1221,11,72,13099,10351938,966418,3530,-5,3,41,2,-29,6
Oklahoma,10/16/20,,,1472,11,0,19380,11547208,895958,3601,-10,-5,46,1,-30,7
Oklahoma,10/17/20,,,1195,14,169,15887,10797630,989625,3020,-12,-1,53,6,-11,2
Oklahoma,10/18/20,,,796,3,28,796,9109100,1049957,3373,-14,-5,-7,3,-12,3
Oklahoma,10/19/20,,,774,2,17,774,10902682,944799,3261,-12,-5,-7,-5,-26,7
Oklahoma,10/20/20,,,1475,18,149,31405,10985553,943085,3039,-10,-4,25,-3,-23,6
Oklahoma,10/21/20,,,1307,19,113,11215,10648142,992096,3583,-5,1,44,1,-20,4
Oklahoma,10/22/20,,,1628,11,93,12863,11838160,910442,3335,-6,2,43,-2,-22,5
Oklahoma,10/23/20,,,1373,13,95,20464,12509839,864832,3126,-12,-6,-3,-5,-22,7
Oklahoma,10/24/20,,,1829,11,95,21157,11681633,965650,2441,-14,-3,25,1,-9,3
Oklahoma,10/25/20,,,1051,4,26,1051,9880568,1008378,3553,-12,-3,-10,1,-11,3
Oklahoma,10/26/20,,,663,2,22,663,10452694,989512,2942,-23,-12,-45,-17,-28,11
Oklahoma,10/27/20,,,1010,22,132,30053,10131563,1050965,2995,-25,-16,-32,-20,-44,12
Oklahoma,10/28/20,,,743,13,69,11390,10597067,967363,3743,-8,-3,-21,-9,-35,6
Oklahoma,10/29/20,,,1041,20,79,10319,11613387,942229,3686,-2,2,-3,-3,-29,3
Oklahoma,10/30/20,,,1302,20,90,15590,12220521,942392,3390,-2,0,16,-1,-24,2
Oklahoma,10/31/20,,,1267,11,111,15619,11442198,1036212,2577,-7,7,40,0,-5,-2
Oklahoma,11/1/20,,,1349,8,22,1349,10562434,1183172,5397,-5,2,10,-1,-8,0
Oklahoma,11/2/20,,,1084,9,23,1084,11638433,1083838,2567,-5,0,-1,-7,-23,5
Oklahoma,11/3/20,,,1331,21,170,27512,12548581,917129,2666,4,7,37,1,-24,3
Oklahoma,11/4/20,,,1246,17,115,9778,10980119,1025414,2818,-4,0,23,-1,-21,4
Oklahoma,11/5/20,,,2101,21,119,16440,11843143,1069494,2915,-6,3,26,-5,-22,4
Oklahoma,11/6/20,,,1878,16,100,16044,12185252,1131440,4097,-10,-6,22,-4,-21,5
Oklahoma,11/7/20,,,0,0,0,13471,10837794,1182044,5005,-11,-2,35,1,-7,2
Oklahoma,11/8/20,,,4507,9,132,4507,9983852,1313786,3908,-9,-3,14,0,-8,2
Oklahoma,11/9/20,,,2197,6,51,2197,11900865,1074392,3017,-10,-4,-1,-7,-23,7
Oklahoma,11/10/20,,,1702,7,61,23422,12262677,1017383,3106,-9,-1,4,-5,-24,7
Oklahoma,11/11/20,,,2177,19,186,14939,11694776,1068195,3386,-3,-1,17,-5,-29,7
Oklahoma,11/12/20,,,2357,11,162,2357,11696151,1063579,3707,-9,-1,10,-5,-24,6
Oklahoma,11/13/20,,,2667,12,76,40529,12195693,1025343,3378,-13,-7,-1,-5,-22,7
Oklahoma,11/14/20,,,2847,23,165,12781,11463195,1110058,3100,-13,-4,3,-5,-8,4
Oklahoma,11/15/20,,,3923,12,101,3923,10836922,1119728,5527,-11,-4,7,-2,-10,3
Oklahoma,11/16/20,,,2729,10,45,2729,11641341,1129504,5146,-11,-4,-4,-8,-25,8
Oklahoma,11/17/20,,,1551,6,64,40563,11834475,1125652,5077,-10,-2,14,-6,-26,8
Oklahoma,11/18/20,,,3017,26,206,17922,12338878,1100995,5728,-6,1,15,-2,-24,7
Oklahoma,11/19/20,,,2915,18,149,21620,12136970,1063595,5391,-10,2,10,-3,-26,7
Oklahoma,11/20/20,,,2921,15,184,16625,11728391,1033234,5460,-12,-4,13,-1,-24,7
Oklahoma,11/21/20,,,3663,21,164,53383,10725736,1121125,5275,-18,-1,-7,2,-9,4
Oklahoma,11/22/20,,,3406,10,149,3406,9422197,1143981,5648,-15,-4,-20,-3,-11,4
Oklahoma,11/23/20,,,3544,15,35,3544,10938216,1081787,5243,-8,0,-11,-8,-33,9
Oklahoma,11/24/20,,,2736,15,77,43490,10764653,1068830,5697,-8,4,-15,-4,-35,10
Oklahoma,11/25/20,,,3732,16,263,21896,11624961,1013205,4833,11,31,19,4,-37,7
Oklahoma,11/26/20,,,0,0,0,24905,9014821,1136822,4684,-75,-25,16,-30,-79,20
Oklahoma,11/27/20,,,3225,24,190,3225,11678117,1061520,4904,-18,-16,17,-27,-57,16
Oklahoma,11/28/20,,,6257,13,182,6257,10476806,1100952,5078,-23,-13,-9,-10,-15,6
Oklahoma,11/29/20,,,1721,19,141,1721,9784410,1130151,4803,-19,-12,-30,3,-13,5
Oklahoma,11/30/20,,,2200,7,37,2200,10656627,1152560,5149,-11,-6,-19,-9,-26,9
Oklahoma,12/1/20,,,1737,15,35,51737,12408140,982320,4612,-6,4,1,-3,-25,7
Oklahoma,12/2/20,,,2859,54,285,20129,12349710,981035,4791,-12,-3,-20,-9,-24,9
Oklahoma,12/3/20,,,1707,24,195,18410,12238584,985679,5159,-11,0,-20,-10,-26,9
Oklahoma,12/4/20,,,4827,24,176,30155,12822430,957487,4899,-12,-7,-1,-9,-23,8
Oklahoma,12/5/20,,,4370,14,179,30430,12176965,1023021,5286,-13,-1,12,-5,-5,4
Oklahoma,12/6/20,,,3241,22,-9,3241,10165787,1095964,5438,-12,-3,-2,-9,-9,4
Oklahoma,12/7/20,,,1903,15,254,1903,10347966,1124804,6211,-11,-4,-6,-12,-25,8
Oklahoma,12/8/20,,,2297,11,19,32441,10920773,1037414,5505,-10,-3,13,-8,-24,7
Oklahoma,12/9/20,,,2307,23,244,19252,10968089,1020288,5633,-6,0,33,-4,-23,6
Oklahoma,12/10/20,,,2460,35,146,18710,11577538,1012420,5205,-7,4,24,-8,-24,7
Oklahoma,12/11/20,,,3900,27,190,23098,11269959,1052456,5337,-13,-5,-11,-9,-23,9
Oklahoma,12/12/20,,,3983,35,198,23096,10649583,1119088,5820,-12,4,0,-3,-5,4
Oklahoma,12/13/20,,,4332,22,158,4332,8332541,1247802,6019,-39,-21,-44,-22,-23,9
Oklahoma,12/14/20,,,2099,8,34,2099,10323582,1107164,5820,-15,-6,-33,-14,-32,12
Oklahoma,12/15/20,,,2224,14,46,39702,10592491,1053329,5224,-19,-7,-26,-16,-30,12
Oklahoma,12/16/20,,,3238,42,257,13918,10418438,1091314,5957,-7,0,-14,-7,-27,10
Oklahoma,12/17/20,,,2975,16,156,2975,11358513,1040909,5218,-6,4,-6,-6,-25,8
Oklahoma,12/18/20,,,3556,17,149,37006,11786992,1079072,5829,-9,-3,-6,-3,-24,9
Oklahoma,12/19/20,,,4108,28,161,10769,10947321,1143387,5272,-12,2,2,9,-5,4
Oklahoma,12/20/20,,,4970,23,178,4970,8777120,1166716,4650,-6,2,4,3,-7,3
Oklahoma,12/21/20,,,2596,6,49,2596,10660280,1129790,4800,2,6,17,-6,-33,8
Oklahoma,12/22/20,,,2186,22,46,54755,11065661,1157599,6926,5,11,31,-1,-34,8
Oklahoma,12/23/20,,,3656,43,274,26318,11055907,1179460,7258,16,27,6,2,-35,7
Oklahoma,12/24/20,,,3277,45,234,25629,9761336,1199040,6481,-4,36,-6,-20,-57,13
Oklahoma,12/25/20,,,0,0,0,18341,5977365,1274733,5374,-82,-53,-9,-34,-81,24
Oklahoma,12/26/20,,,3955,29,210,3955,9810876,1190526,6209,-22,-12,7,-16,-20,7
Oklahoma,12/27/20,,,2631,13,167,2631,10857553,1107487,7745,-18,-13,4,-4,-14,5
Oklahoma,12/28/20,,,3448,13,47,3448,12540381,972378,6512,-9,-5,-16,-10,-38,12
Oklahoma,12/29/20,,,1194,22,90,22431,12475208,970986,6760,-11,-4,-15,-11,-39,13
Oklahoma,12/30/20,,,3249,48,387,29684,12316841,988870,7302,-7,1,-23,-11,-38,12
Oklahoma,12/31/20,,,3906,36,246,18871,12913917,944100,6497,2,21,-29,-18,-45,12
Oklahoma,1/1/21,,,0,0,0,17009,9800007,1231179,6909,-45,-36,-42,-42,-72,27
Oklahoma,1/2/21,,,5119,38,188,5119,11931320,1040760,6697,-20,-10,-38,-11,-16,8
Oklahoma,1/3/21,,,8017,20,194,8017,10843143,1095278,6965,-14,-9,-24,-5,-11,6
Oklahoma,1/4/21,,,2699,5,52,2699,13159629,890336,4784,-5,-1,-17,-10,-27,9
Oklahoma,1/5/21,,,1497,19,61,36944,12752609,862601,4975,-6,1,0,-5,-25,8
Oklahoma,1/6/21,,,3305,62,332,20890,12826908,845546,6416,-10,-4,-22,-8,-24,9
Oklahoma,1/7/21,,,3781,39,307,19372,12793409,841513,6825,-14,-5,-26,-13,-25,10
Oklahoma,1/8/21,,,5232,31,225,19619,13918046,828526,6912,-16,-12,-28,-12,-23,10
Oklahoma,1/9/21,,,4289,35,220,26877,13037677,914347,7298,-16,-7,-28,-8,-8,6
Oklahoma,1/10/21,,,6487,23,186,6487,11151116,1003754,7982,-16,-7,-42,-13,-11,6
Oklahoma,1/11/21,,,3885,14,61,3885,13067830,881704,7008,-14,-7,-22,-14,-24,9
Oklahoma,1/12/21,,,2210,29,67,28917,13049247,870007,7812,-13,-6,-2,-9,-25,9
Oklahoma,1/13/21,14560,3680,3907,44,247,25310,13259062,849589,8211,-11,-5,7,-7,-23,7
Oklahoma,1/14/21,14712,3718,3142,34,261,18977,13348691,830876,6241,-15,-7,-13,-12,-25,8
Oklahoma,1/15/21,15189,3839,3538,43,156,29085,15032262,807924,5963,-19,-14,-30,-12,-25,10
Oklahoma,1/16/21,13809,3490,3621,27,190,15213,14958177,907557,4545,-18,-9,-18,-9,-11,6
Oklahoma,1/17/21,12982,3281,3314,35,230,3314,12852122,881010,6654,-16,-11,-15,-10,-12,5
Oklahoma,1/18/21,12430,3141,1837,7,27,1837,15132032,767882,6649,-16,-12,-8,-15,-41,13
Oklahoma,1/19/21,12036,3042,1558,43,32,42633,13024611,820178,5950,-16,-8,-14,-11,-26,8
Oklahoma,1/20/21,11326,2862,1986,48,200,13513,13335245,810212,5860,-14,-7,-19,-9,-24,8
Oklahoma,1/21/21,11453,2894,2686,55,210,2686,14732077,752698,6565,-15,-7,-12,-13,-24,8
Oklahoma,1/22/21,12013,3036,2946,47,187,23705,15269105,725675,6536,-17,-11,-13,-11,-22,9
Oklahoma,1/23/21,13104,3312,4157,44,157,20510,13370093,827409,5495,-19,-10,-28,-11,-9,6
Oklahoma,1/24/21,14294,3612,2941,48,171,2941,12066027,929342,7969,-20,-12,-34,-16,-11,6
